Cлово,Частота,Частота в %
string,32,2.27273
analysis,20,1.42045
to,19,1.34943
this,17,1.20739
i,16,1.13636
std,13,0.923295
temporary,12,0.852273
input,12,0.852273
file,12,0.852273
0,11,0.78125
WordCounter,8,0.568182
if,8,0.568182
iterator,7,0.497159
check,7,0.497159
int,7,0.497159
data,7,0.497159
output,6,0.426136
I,5,0.355114
include,5,0.355114
WordInfo,5,0.355114
a,5,0.355114
getCount,5,0.355114
object,5,0.355114
addCount,4,0.284091
void,4,0.284091
compare,4,0.284091
name,4,0.284091
return,3,0.213068
size,3,0.213068
FindInVector,3,0.213068
for,3,0.213068
word,3,0.213068
the,3,0.213068
100,3,0.213068
vector,3,0.213068
float,3,0.213068
hg,2,0.142045
h,2,0.142045
count,2,0.142045
words,2,0.142045
total,2,0.142045
b,2,0.142045
1,2,0.142045
getLine,2,0.142045
search,2,0.142045
push,2,0.142045
value,2,0.142045
else,2,0.142045
sort,2,0.142045
begin,2,0.142045
end,2,0.142045
open,2,0.142045
in,2,0.142045
back,2,0.142045
ifstream,1,0.0710227
isalnum,1,0.0710227
read,1,0.0710227
counter,1,0.0710227
algorithm,1,0.0710227
fh,1,0.0710227
fhg,1,0.0710227
hgfhgf,1,0.0710227
ghfhg,1,0.0710227
break,1,0.0710227
text,1,0.0710227
while,1,0.0710227
true,1,0.0710227
It,1,0.0710227
EOF,1,0.0710227
empty,1,0.0710227
setWord,1,0.0710227
setCount,1,0.0710227
length,1,0.0710227
adjoined,1,0.0710227
0f,1,0.0710227
setFrequency,1,0.0710227
sortWords,1,0.0710227
write,1,0.0710227
ofstream,1,0.0710227
C,1,0.0710227
endl,1,0.0710227
getFrequency,1,0.0710227
possessed,1,0.0710227
fstream,1,0.0710227
drawing,1,0.0710227
room,1,0.0710227
slipped,1,0.0710227
there,1,0.0710227
contained,1,0.0710227
bookcase,1,0.0710227
soon,1,0.0710227
default,1,0.0710227
seat,1,0.0710227
myself,1,0.0710227
of,1,0.0710227
volume,1,0.0710227
taking,1,0.0710227
care,1,0.0710227
double,1,0.0710227
that,1,0.0710227
shrined,1,0.0710227
it,1,0.0710227
sat,1,0.0710227
into,1,0.0710227
was,1,0.0710227
be,1,0.0710227
one,1,0.0710227
mounted,1,0.0710227
pictures,1,0.0710227
should,1,0.0710227
stored,1,0.0710227
with,1,0.0710227
cross,1,0.0710227
close,1,0.0710227
nearly,1,0.0710227
red,1,0.0710227
gathering,1,0.0710227
curtain,1,0.0710227
up,1,0.0710227
my,1,0.0710227
feet,1,0.0710227
window,1,0.0710227
getline,1,0.0710227
legged,1,0.0710227
like,1,0.0710227
Turk,1,0.0710227
and,1,0.0710227
having,1,0.0710227
drawn,1,0.0710227
moreen,1,0.0710227
retirement,1,0.0710227